post_title,ID,post_content,post_excerpt,post_date,post_name,post_author,post_status,featured_image,wp_page_template,post_format,comment_status,ping_status,pinged,post_parent,menu_order,era_species_ecoregion_new,era_species_common_name,era_species_img_credit,era_species_related_projects,pods_caption,pods_alt_text,pods_description,pods_file_name,pods_title,title,meta_desc,meta-robots-noindex,meta-robots-nofollow,meta-robots-adv,bctitle,canonical,redirect,opengraph-title,opengraph-description,opengraph-image,twitter-title,twitter-description,twitter-image,google-plus-title,google-plus-description,google-plus-image,focus_keyword,schema_page_type,schema_article_type,cornerstone-content,focuskeywords,keywordsynonyms
Mallotus philippensis,4324,,,6/15/2022 13:06,mallotus-philippensis,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Mallotus_philippensis_fruits_5358.jpg,,standard,closed,closed,,0,0,South Deccan Plateau Dry Deciduous forests,Mallotus philippensis,,"291,551,158,625,822,000",,,,,,Mallotus philippensis,,,,,,,,,,,,,,,,,,,,,,
Meliosma simplicifolia,4325,,,6/15/2022 13:06,meliosma-simplicifolia,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Meliosma_simplicifolia_31.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Meliosma simplicifolia,,"291,551,158,625,822,000",,,,,,Meliosma simplicifolia,,,,,,,,,,,,,,,,,,,,,,
Memecylon malabaricum,4326,,,6/15/2022 13:06,memecylon-malabaricum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Memecylon_Malabaricum_33845187453.jpg,,standard,closed,closed,,0,0,South Western Ghats Moist Deciduous forests,Memecylon malabaricum,,"291,551,158,625,822,000",,,,,,Memecylon malabaricum,,,,,,,,,,,,,,,,,,,,,,
Memecylon umbellatum,4327,,,6/15/2022 13:06,memecylon-umbellatum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Memecylon_umbellatum_2396029326.jpg,,standard,closed,closed,,0,0,East Deccan dry-evergreen forests,Memecylon umbellatum,,"291,551,158,625,822,000",,,,,,Memecylon umbellatum,,,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,4328,,,6/15/2022 13:06,mesua-ferrea,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Mesua_ferrea_L._49573366098.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Mesua ferrea,,2074,,,,,,Mesua ferrea,,,,,,,,,,,,,,,,,,,,,,
Miliusa tomentosa,4329,,,6/15/2022 13:06,miliusa-tomentosa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Miliusa_tomentosa_5.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Miliusa tomentosa,,"291,551,158,625,822,000",,,,,,Miliusa tomentosa,,,,,,,,,,,,,,,,,,,,,,
Millettia Pinata,4330,,,6/15/2022 13:06,millettia-pinata,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/07-Pongamiapinnata-ArjunSingh.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Millettia Pinata,,2085,,,,,,Millettia Pinata,,,,,,,,,,,,,,,,,,,,,,
Mitragyna parvifolia,4331,,,6/15/2022 13:06,mitragyna-parvifolia,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/BDP023_Kaim-VijayDhasmana.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Mitragyna parvifolia,,1957,,,,,,Mitragyna parvifolia,,,,,,,,,,,,,,,,,,,,,,
Moringa concanensis,4332,,,6/15/2022 13:06,moringa-concanensis,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/ERN_moringaconcanensis-VijayDhasmana.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Moringa concanensis,,1957,,,,,,Moringa concanensis,,,,,,,,,,,,,,,,,,,,,,
Murraya koenigii,4333,,,6/15/2022 13:06,murraya-koenigii,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Murraya_koenigii_Curry_leaf_leaves_in_RDA_Bogra_01.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Murraya koenigii,,"291,551,158,625,822,000",,,,,,Murraya koenigii,,,,,,,,,,,,,,,,,,,,,,
Murraya paniculata,4334,,,6/15/2022 13:06,murraya-paniculata,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Orange_Jasmine_Murraya_paniculata_1.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Murraya paniculata,,"291,551,158,625,822,000",,,,,,Murraya paniculata,,,,,,,,,,,,,,,,,,,,,,
Naringi crenulata,4335,,,6/15/2022 13:06,naringi-crenulata,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Naringi_crenulata_3641.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Naringi crenulata,,"291,551,158,625,822,000",,,,,,Naringi crenulata,,,,,,,,,,,,,,,,,,,,,,
Neolamarckia cadamba,4336,,,6/15/2022 13:06,neolamarckia-cadamba,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Cadamba_tree_Neolamarckia_cadamba_by_Raju_Kasambe.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Neolamarckia cadamba,,"291,551,158,625,822,000",,,,,,Neolamarckia cadamba,,,,,,,,,,,,,,,,,,,,,,
Ophioglossum reticulatum,4337,,,6/15/2022 13:06,ophioglossum-reticulatum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Ophioglossumreticulatum-SuprabhaSeshan.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Ophioglossum reticulatum,,2104,,,,,,Ophioglossum reticulatum,,,,,,,,,,,,,,,,,,,,,,
Orophea erythrocarpa,4338,,,6/15/2022 13:06,orophea-erythrocarpa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/orophea2.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Orophea erythrocarpa,,"291,551,158,625,822,000",,,,,,Orophea erythrocarpa,,,,,,,,,,,,,,,,,,,,,,
Palaquium ellipticum,4339,,,6/15/2022 13:06,palaquium-ellipticum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/07-Palaquium_ellipticum_in_Anamalais_IMG_20201208_105724-ArjunSingh.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Palaquium ellipticum,,2074,,,,,,Palaquium ellipticum,,,,,,,,,,,,,,,,,,,,,,
Panicum turgidum,4340,,,6/15/2022 13:06,panicum-turgidum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/6.Panicumturgidum-PradipKrishen.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Panicum turgidum,,2099,,,,,,Panicum turgidum,,,,,,,,,,,,,,,,,,,,,,
Pavetta crassicaulis,4341,,,6/15/2022 13:06,pavetta-crassicaulis,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Pavetta_crassicaulis_flowers_in_Hyderabad_W_IMG_8712.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Pavetta crassicaulis,,"291,551,158,625,822,000",,,,,,Pavetta crassicaulis,,,,,,,,,,,,,,,,,,,,,,
Pennisetum divisum,4342,,,6/15/2022 13:07,pennisetum-divisum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/2.Pennisetumdivisum-PradipKrishen.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Pennisetum divisum,,2099,,,,,,Pennisetum divisum,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus polyphyllus,4343,,,6/15/2022 13:07,phyllanthus-polyphyllus,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Phyllanthus_polyphyllus_07.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Phyllanthus polyphyllus,,"291,551,158,625,822,000",,,,,,Phyllanthus polyphyllus,,,,,,,,,,,,,,,,,,,,,,
Poeciloneuron indicum,4344,,,6/15/2022 13:07,poeciloneuron-indicum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Putankolli_15583841843.jpg,,standard,closed,closed,,0,0,North Western Ghats montane rainforests,Poeciloneuron indicum,,"291,551,158,625,822,000",,,,,,Poeciloneuron indicum,,,,,,,,,,,,,,,,,,,,,,
Polyalthia simiarum,4345,,,6/15/2022 13:07,polyalthia-simiarum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/7-PolyalthiasimiarumKari-NoopurBorawake.jpg,,standard,closed,closed,,0,0,Eastern Himalayan broadleaf forests,Polyalthia simiarum,,2098,,,,,,Polyalthia simiarum,,,,,,,,,,,,,,,,,,,,,,
Polygala japonica,4346,,,6/15/2022 13:07,polygala-japonica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Drosera_peltata_plant2_15406307542.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Polygala japonica,,"291,551,158,625,822,000",,,,,,Polygala japonica,,,,,,,,,,,,,,,,,,,,,,
Premna tomentosa,4347,,,6/15/2022 13:07,premna-tomentosa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Premna_tomentosa.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Premna tomentosa,,"291,551,158,625,822,000",,,,,,Premna tomentosa,,,,,,,,,,,,,,,,,,,,,,
Prunus ceylanica,4348,,,6/15/2022 13:07,prunus-ceylanica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/8-Prunusceylanica-NoopurBorawake.jpg,,standard,closed,closed,,0,0,Eastern Himalayan broadleaf forests,Prunus ceylanica,,2098,,,,,,Prunus ceylanica,,,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,4349,,,6/15/2022 13:07,pterocarpus-marsupium,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Bija_2139120746.jpg,,standard,closed,closed,,0,0,South Deccan Plateau Dry Deciduous forests,Pterocarpus marsupium,,"291,551,158,625,822,000",,,,,,Pterocarpus marsupium,,,,,,,,,,,,,,,,,,,,,,
Pterolobium hexapetalum,4350,,,6/15/2022 13:07,pterolobium-hexapetalum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Pterolobium_hexapetalum_Camp_Siege_in_Talakona_forest_AP_W_IMG_8365.jpg,,standard,closed,closed,,0,0,South Deccan Plateau Dry Deciduous forests,Pterolobium hexapetalum,,"291,551,158,625,822,000",,,,,,Pterolobium hexapetalum,,,,,,,,,,,,,,,,,,,,,,
Pterospermum suberifolium,4351,,,6/15/2022 13:07,pterospermum-suberifolium,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Pterospermum_suberifolium_L._Willd._48926862608.jpg,,standard,closed,closed,,0,0,East Deccan dry-evergreen forests,Pterospermum suberifolium,,"291,551,158,625,822,000",,,,,,Pterospermum suberifolium,,,,,,,,,,,,,,,,,,,,,,
Reissantia indica,4352,,,6/15/2022 13:07,reissantia-indica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Reissantia_indica_10.jpg,,standard,closed,closed,,0,0,East Deccan dry-evergreen forests,Reissantia indica,,"291,551,158,625,822,000",,,,,,Reissantia indica,,,,,,,,,,,,,,,,,,,,,,
Rhododendron arboreum,4353,,,6/15/2022 13:07,rhododendron-arboreum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Rhododendron_arboreum_leaves_close_up.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Rhododendron arboreum,,"291,551,158,625,822,000",,,,,,Rhododendron arboreum,,,,,,,,,,,,,,,,,,,,,,
Saccharum benghalense,4354,,,6/15/2022 13:07,saccharum-benghalense,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/1.Saccharumbenghalense-PradipKrishen.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Saccharum benghalense,,2099,,,,,,Saccharum benghalense,,,,,,,,,,,,,,,,,,,,,,
Salvadora persica,4355,,,6/15/2022 13:07,salvadora-persica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/2.Salvadorapersica-ArjunSingh.jpg,,standard,closed,closed,,0,0,Deccan thorn scrub forests,Salvadora persica,,2089,,,,,,Salvadora persica,,,,,,,,,,,,,,,,,,,,,,
Sarcostemma acidum,4356,,,6/15/2022 13:07,sarcostemma-acidum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Sarcostemmaacidum-PradipKrishen.jpg,,standard,closed,closed,,0,0,Thar Desert,Sarcostemma acidum,,2096,,,,,,Sarcostemma acidum,,,,,,,,,,,,,,,,,,,,,,
Schefflera venulosa,4357,,,6/15/2022 13:07,schefflera-venulosa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Schefflera_venulosa_03a.jpg,,standard,closed,closed,,0,0,North Western Ghats montane rainforests,Schefflera venulosa,,"291,551,158,625,822,000",,,,,,Schefflera venulosa,,,,,,,,,,,,,,,,,,,,,,
Schleichera oleosa,4358,,,6/15/2022 13:07,schleichera-oleosa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/madhavanSouthWesternGhatsMoistDeciduousForests.jpg,,standard,closed,closed,,0,0,South Western Ghats Moist Deciduous forests,Schleichera oleosa,,"291,551,158,625,822,000",,,,,,Schleichera oleosa,,,,,,,,,,,,,,,,,,,,,,
Sericostoma pauciflorum,4359,,,6/15/2022 13:07,sericostoma-pauciflorum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/7.sericostoma-PradipKrishen.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Sericostoma pauciflorum,,2099,,,,,,Sericostoma pauciflorum,,,,,,,,,,,,,,,,,,,,,,
Smilax zeylanica,4360,,,6/15/2022 13:07,smilax-zeylanica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Smilax_zeylanica_fruits.jpg,,standard,closed,closed,,0,0,South Western Ghats Moist Deciduous forests,Smilax zeylanica,,"291,551,158,625,822,000",,,,,,Smilax zeylanica,,,,,,,,,,,,,,,,,,,,,,
Solanum verbascifolium,4361,,,6/15/2022 13:07,solanum-verbascifolium,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Solanum_mauritianum_49090743062.jpg,,standard,closed,closed,,0,0,South Western Ghats Moist Deciduous forests,Solanum verbascifolium,,"291,551,158,625,822,000",,,,,,Solanum verbascifolium,,,,,,,,,,,,,,,,,,,,,,
Sophora Galuca,4362,,,6/15/2022 13:07,sophora-galuca,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/08-Sophoragaluca-ArjunSingh.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Sophora Galuca,,2085,,,,,,Sophora Galuca,,,,,,,,,,,,,,,,,,,,,,
Sterculia urens,4363,,,6/15/2022 13:07,sterculia-urens,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/ERN_Kullu_vijaydhasmana-VijayDhasmana.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Sterculia urens,,1957,,,,,,Sterculia urens,,,,,,,,,,,,,,,,,,,,,,
Stereospermum colais,4364,,,6/15/2022 13:07,stereospermum-colais,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Zinghal_in_Mizo_5663795408.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Stereospermum colais,,"291,551,158,625,822,000",,,,,,Stereospermum colais,,,,,,,,,,,,,,,,,,,,,,
Stereospermum personatum,4365,,,6/15/2022 13:07,stereospermum-personatum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Stereospermumpersonatum-min-VArun.jpg,,standard,closed,closed,,0,0,South Deccan Plateau dry deciduous forests,Stereospermum personatum,,,,,,,,Stereospermum personatum,,,,,,,,,,,,,,,,,,,,,,
Stobilanthes sp.,4366,,,6/15/2022 13:07,stobilanthes-sp,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/09-Stobilanthessp-ArjunSingh.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Stobilanthes sp.,,2085,,,,,,Stobilanthes sp.,,,,,,,,,,,,,,,,,,,,,,
Streblus asper,4367,,,6/15/2022 13:07,streblus-asper,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Streblus_asper_Jaldapara_WLS_AJT_Johnsingh.jpg,,standard,closed,closed,,0,0,East Deccan dry-evergreen forests,Streblus asper,,"291,551,158,625,822,000",,,,,,Streblus asper,,,,,,,,,,,,,,,,,,,,,,
Strychnos minor,4368,,,6/15/2022 13:07,strychnos-minor,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/climbers.jpg,,standard,closed,closed,,0,0,East Deccan dry-evergreen forests,Strychnos minor,,"291,551,158,625,822,000",,,,,,Strychnos minor,,,,,,,,,,,,,,,,,,,,,,
Syzygium Cumini,4369,,,6/15/2022 13:07,syzygium-cumini,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/10-Syzygiumcumini-ArjunSingh.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Syzygium Cumini,,2085,,,,,,Syzygium Cumini,,,,,,,,,,,,,,,,,,,,,,
Syzygium densiflorum,4370,,,6/15/2022 13:07,syzygium-densiflorum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Syzygium-densiflorum.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Syzygium densiflorum,,"291,551,158,625,822,000",,,,,,Syzygium densiflorum,,,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,4371,,,6/15/2022 13:07,terminalia-bellirica,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Terminalia_bellerica_AJT_Johnsingh.jpg,,standard,closed,closed,,0,0,South Western Ghats Moist Deciduous forests,Terminalia bellirica,,"291,551,158,625,822,000",,,,,,Terminalia bellirica,,,,,,,,,,,,,,,,,,,,,,
Tetrameles nudiflora,4372,,,6/15/2022 13:07,tetrameles-nudiflora,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/9-TetramelesnudifloraBhelu-NoopurBorawake.jpg,,standard,closed,closed,,0,0,Eastern Himalayan broadleaf forests,Tetrameles nudiflora,,"20,982,107",,,,,,Tetrameles nudiflora,,,,,,,,,,,,,,,,,,,,,,
Utricularia arcuata,4373,,,6/15/2022 13:07,utricularia-arcuata,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Utricularia-AparnaWatve.jpg,,standard,closed,closed,,0,0,"North Western Ghats Moist Deciduous forests,North Western Ghats montane rainforests",Utricularia arcuata,,2083,,,,,,Utricularia arcuata,,,,,,,,,,,,,,,,,,,,,,
Vatica lanceifolia,4374,,,6/15/2022 13:07,vatica-lanceifolia,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/10-VaticalanceifoliaMorhal-NoopurBorawake.jpg,,standard,closed,closed,,0,0,Eastern Himalayan broadleaf forests,Vatica lanceifolia,,2098,,,,,,Vatica lanceifolia,,,,,,,,,,,,,,,,,,,,,,
Ventilago maderaspatana,4375,,,6/15/2022 13:07,ventilago-maderaspatana,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Ventilago_maderaspatana_01.jpg,,standard,closed,closed,,0,0,South Deccan Plateau Dry Deciduous forests,Ventilago maderaspatana,,"291,551,158,625,822,000",,,,,,Ventilago maderaspatana,,,,,,,,,,,,,,,,,,,,,,
Viburnum cylindricum,4376,,,6/15/2022 13:07,viburnum-cylindricum,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Viburnum_cylindricum_-_Flickr_-_peganum_1.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Viburnum cylindricum,,"291,551,158,625,822,000",,,,,,Viburnum cylindricum,,,,,,,,,,,,,,,,,,,,,,
Villebrunea  integrifolia,4377,,,6/15/2022 13:07,villebrunea-integrifolia,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Villebrunea_integrifolia_DSCN8618.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Villebrunea  integrifolia,,"291,551,158,625,822,000",,,,,,Villebrunea integrifolia,,,,,,,,,,,,,,,,,,,,,,
Walsura trifoliata,4378,,,6/15/2022 13:07,walsura-trifoliata,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/walsura.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Walsura trifoliata,,"291,551,158,625,822,000",,,,,,Walsura trifoliata,,,,,,,,,,,,,,,,,,,,,,
Wendlandia thyrsoidea,4379,,,6/15/2022 13:07,wendlandia-thyrsoidea,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Flower_of_a_tree_seen_on_the_hill_top_of_Ranipuram.jpg,,standard,closed,closed,,0,0,North Western Ghats montane rainforests,Wendlandia thyrsoidea,,"291,551,158,625,822,000",,,,,,Wendlandia thyrsoidea,,,,,,,,,,,,,,,,,,,,,,
Wrightia arborea,4380,,,6/15/2022 13:07,wrightia-arborea,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/ERN_Wrigthiaarborea-VijayDhasmana.jpg,,standard,closed,closed,,0,0,Aravalli west thorn scrub forests,Wrightia arborea,,1957,,,,,,Wrightia arborea,,,,,,,,,,,,,,,,,,,,,,
Xanthophyllum flavescens,4381,,,6/15/2022 13:07,xanthophyllum-flavescens,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Xanthophyllum_arnottianum_Wight_49104606513.jpg,,standard,closed,closed,,0,0,South Western Ghats montane rainforests,Xanthophyllum flavescens,,"291,551,158,625,822,000",,,,,,Xanthophyllum flavescens,,,,,,,,,,,,,,,,,,,,,,
Xantolis tomentosa,4382,,,6/15/2022 13:07,xantolis-tomentosa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Kantabohul_in_Hindi_5460395995.jpg,,standard,closed,closed,,0,0,North Western Ghats montane rainforests,Xantolis tomentosa,,"291,551,158,625,822,000",,,,,,Xantolis tomentosa,,,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,4383,,,6/15/2022 13:07,xylia-xylocarpa,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Xylia_xylocarpa_4227254727.jpg,,standard,closed,closed,,0,0,North Western Ghats Moist Deciduous forests,Xylia xylocarpa,,"291,551,158,625,822,000",,,,,,Xylia xylocarpa,,,,,,,,,,,,,,,,,,,,,,
Ziziphus oenoplia,4384,,,6/15/2022 13:07,ziziphus-oenoplia,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Ziziphus_oenoplia-Fruits.jpg,,standard,closed,closed,,0,0,South Deccan Plateau Dry Deciduous forests,Ziziphus oenoplia,,"291,551,158,625,822,000",,,,,,Ziziphus oenoplia,,,,,,,,,,,,,,,,,,,,,,
Ziziphus xylopyrus,4385,,,6/15/2022 13:07,ziziphus-xylopyrus,era_ad,publish,https://era-india.org/wp-content/uploads/2022/06/Ziziphus_xylopyrus_AJTJ_DSCN0180.jpg,,standard,closed,closed,,0,0,Deccan Thorn Scrub forests,Ziziphus xylopyrus,,"291,551,158,625,822,000",,,,,,Ziziphus xylopyrus,,,,,,,,,,,,,,,,,,,,,,
Dichanthium annulatum,4914,,,6/23/2022 12:21,dichanthium-annulatum,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/1-Dichanthium-annulatum_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Dichanthium annulatum,,,,,,,,,,,,,,,,,,,,,,
Desmostachya bipinnata,4917,,,6/23/2022 12:26,desmostachya-bipinnata,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/2-Desmostachya-bipinnata_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Desmostachya bipinnata,,,,,,,,,,,,,,,,,,,,,,
Sporobolus coromandelinius,4919,,,6/23/2022 12:28,sporobolus-coromandelinius,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/3-Sporobolus-coromandelinius_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Sporobolus coromandelinius,,,,,,,,,,,,,,,,,,,,,,
Eragrostis ciliaris,4921,,,6/23/2022 12:30,eragrostis-ciliaris,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/4-Eragrostis-ciliaris_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Eragrostis ciliaris,,,,,,,,,,,,,,,,,,,,,,
Dactyloctenium aegypticum,4923,,,6/23/2022 12:31,dactyloctenium-aegypticum,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/5-Dactyloctenium-aegypticum_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Dactyloctenium aegypticum,,,,,,,,,,,,,,,,,,,,,,
Ischaemum travancorense,4925,,,6/23/2022 12:33,ischaemum-travancorense,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/6-Ischaemum-travancorense_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Ischaemum travancorense,,,,,,,,,,,,,,,,,,,,,,
Urochondra setulosa,4927,,,6/23/2022 12:34,urochondra-setulosa,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/7-Urochondra-setulosa-_AN-Ankila-Hiremath.jpg,,standard,closed,closed,,0,0,"Aravalli west thorn scrub forests,Rann of Kutch seasonal salt marsh",,,4908,,,,,,Urochondra setulosa,,,,,,,,,,,,,,,,,,,,,,
Punyak,4961,,,6/23/2022 15:39,punyak,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/1.Punyak-rita-banerji1.jpg,,standard,closed,closed,,0,0,,Punyak,,2107,,,,,,Punyak,,,,,,,,,,,,,,,,,,,,,,
Choerospondias axillaris (Heemuk),4963,,,6/23/2022 15:42,choerospondias-axillaris,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/2.Choerospondias-axillaris_Heemuk-rita-banerji.jpg,,standard,closed,closed,,0,0,,Heemuk,,2107,,,,,,Choerospondias axillaris (Heemuk),,,,,,,,,,,,,,,,,,,,,,
Cotton Tree (Jaohpo),4966,,,6/23/2022 15:45,cotton-tree-jaohpo,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/3.Cotton-Tree_Jaohpo-rita-banerji.jpg,,standard,closed,closed,,0,0,,Cotton Tree (Jaohpo),,2107,,,,,,Cotton Tree (Jaohpo),,,,,,,,,,,,,,,,,,,,,,
Borpat,4972,,,6/23/2022 15:55,borpat,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/5.Borpat-Tree-rita-banerji-1.jpg,,standard,closed,closed,,0,0,,Borpat,,2107,,,,,,Borpat,,,,,,,,,,,,,,,,,,,,,,
Dhuna Tree,4976,,,6/23/2022 15:58,dhuna-tree,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/6.Dhuna-Tree-rita-banerji-1.jpg,,standard,closed,closed,,0,0,,Dhuna Tree,,2107,,,,,,Dhuna Tree,,,,,,,,,,,,,,,,,,,,,,
Teeta Chap,4980,,,6/23/2022 17:04,teeta-chap,arjun@ncf-india.org,publish,https://era-india.org/wp-content/uploads/2022/06/7.Teeta-Chap-rita-banerji.jpg,,standard,closed,closed,,0,0,,Teeta Chap,,2107,,,,,,Teeta Chap,,,,,,,,,,,,,,,,,,,,,,
